Date,Time,Open,High,Low,Close,Volume,MA_50,MA_200,Volatility,Daily_Return,RSI,Cumulative_Return
2005.06.14,00:00,427.7,427.7,426.0,426.3,595,424.98,425.99600000000004,3.9483874123373996,-0.004437178888369919,64.33333333333331,1.1098672220775807
2005.06.15,00:00,426.6,429.5,425.5,428.3,672,425.06600000000003,426.126,4.215435296247969,0.004691531785127934,65.92356687898085,1.1150741994272293
2005.06.16,00:00,428.1,435.8,427.8,435.1,924,425.242,426.26099999999997,5.213593063482416,0.015876721923885118,74.52574525745254,1.1327779224160341
2005.06.17,00:00,435.3,438.8,435.0,437.1,982,425.47799999999995,426.4000000000001,6.17520295852393,0.004596644449551768,74.10468319559224,1.1379848997656825
2005.06.20,00:00,437.0,440.8,436.8,437.6,683,425.708,426.54900000000004,6.827814630729009,0.0011439029970259362,80.58823529411761,1.1392866441030947
2005.06.21,00:00,437.3,438.5,433.6,438.0,806,425.918,426.711,7.2618886190722165,0.000914076782449591,86.60436137071649,1.1403280395730242
2005.06.22,00:00,438.1,438.6,435.8,437.7,589,426.11800000000005,426.90049999999997,7.571989587672003,-0.00068493150684934,82.03124999999993,1.1395469929705768
2005.06.23,00:00,437.8,441.8,435.3,440.6,981,426.36800000000005,427.1145,8.005596726502977,0.0066255426090930936,83.57142857142853,1.1470971101275673
2005.06.24,00:00,440.3,443.2,437.8,439.3,916,426.67799999999994,427.31550000000004,8.073118161041306,-0.0029505220154335543,76.86274509803914,1.1437125748502956
2005.06.27,00:00,439.3,439.8,438.1,439.3,579,426.98799999999994,427.524,8.164112740655751,0.0,81.66666666666657,1.1437125748502956
2005.06.28,00:00,439.1,439.5,434.8,435.1,693,427.16,427.68800000000005,7.7105856832657045,-0.0095606646938311,71.79487179487185,1.1327779224160337
2005.06.29,00:00,435.3,437.8,433.5,436.6,658,427.23,427.85450000000003,6.890458696826296,0.003447483337163826,73.26388888888894,1.1366831554282701
2005.06.30,00:00,436.8,438.3,434.3,434.5,803,427.25,427.999,6.508852271697072,-0.004809894640403156,64.36363636363632,1.1312158292111392
2005.07.01,00:00,434.2,436.2,426.3,426.8,787,427.15,428.11000000000007,6.188223110328025,-0.017721518987341756,47.9166666666667,1.1111689664149924
2005.07.04,00:00,427.2,427.6,425.8,426.5,114,427.006,428.22350000000006,6.141101821252231,-0.0007029053420806175,50.312499999999986,1.110387919812545
2005.07.05,00:00,426.5,426.5,421.3,423.2,655,426.79400000000004,428.31450000000007,6.206566980565869,-0.007737397420867542,42.34234234234232,1.101796407185625
2005.07.06,00:00,423.3,424.3,422.8,423.2,560,426.536,428.409,6.206566980565869,0.0,27.547169811320742,1.101796407185625
2005.07.07,00:00,423.2,428.3,421.5,424.0,837,426.38,428.4825,6.148084853713484,0.001890359168241984,24.11067193675892,1.1038791981254845
2005.07.08,00:00,424.1,424.5,421.6,422.6,617,426.22,428.564,6.399753284721428,-0.0033018867924528017,21.374045801526762,1.1002343139807307
2005.07.11,00:00,423.3,426.1,423.2,425.3,603,426.04600000000005,428.64,6.5220657851099855,0.006389020350213048,27.719298245614098,1.1072637334027562
2005.07.12,00:00,425.8,427.3,424.5,426.3,845,425.99800000000005,428.736,6.5220657851099855,0.002351281448389475,30.479452054794592,1.1098672220775805
2005.07.13,00:00,426.3,427.1,422.8,423.6,663,425.934,428.81,6.737999078286218,-0.006333567909922566,20.689655172413794,1.102837802655555
2005.07.14,00:00,423.6,424.2,418.6,419.2,965,425.75199999999995,428.848,7.226113099471409,-0.010387157695939675,18.691588785046704,1.091382452486328
2005.07.15,00:00,419.2,421.1,417.8,421.1,752,425.582,428.89300000000003,7.378908420201366,0.004532442748091725,23.235294117647115,1.0963290809684942
2005.07.18,00:00,421.3,422.3,419.8,420.6,506,425.48800000000006,428.907,7.439289369007076,-0.0011873664212775914,26.07260726072613,1.095027336631082
2005.07.19,00:00,420.8,421.6,418.5,419.6,655,425.374,428.91,7.428216120770316,-0.002377555872563053,21.476510067114162,1.0924238479562578
2005.07.20,00:00,419.8,422.8,419.6,422.8,624,425.31399999999996,428.93000000000006,7.173922071974638,0.007626310772163913,31.067961165048573,1.1007550117156955
2005.07.21,00:00,422.5,425.3,422.5,425.3,623,425.288,428.965,6.487516352278328,0.00591296121097451,47.08171206225681,1.1072637334027562
2005.07.22,00:00,425.8,426.5,423.8,424.5,570,425.362,429.001,5.786233662757167,-0.001881025158711469,46.18320610687024,1.1051809424628969
2005.07.25,00:00,424.7,426.5,423.8,425.3,681,425.482,429.042,4.867018432374707,0.00188457008244991,54.430379746835484,1.1072637334027562
2005.07.26,00:00,425.3,425.6,422.0,422.8,854,425.564,429.0445,4.309341139043485,-0.005878203620973466,49.236641221374086,1.1007550117156955
2005.07.27,00:00,423.0,425.3,421.5,425.1,657,425.71,429.06200000000007,3.281090159017055,0.005439924314096567,51.985559566787046,1.1067430356677914
